Data,US DOLLAR (onces)
31/12/1978,207.8
31/01/1979,227.3
28/02/1979,245.7
30/03/1979,242.1
30/04/1979,239.2
31/05/1979,257.6
29/06/1979,279.1
31/07/1979,294.7
31/08/1979,300.8
28/09/1979,355.1
31/10/1979,391.7
30/11/1979,392
31/12/1979,455.1
31/01/1980,675.3
29/02/1980,665.3
31/03/1980,553.6
30/04/1980,517.4
30/05/1980,513.8
30/06/1980,600.7
31/07/1980,644.3
29/08/1980,627.2
30/09/1980,673.6
31/10/1980,661.2
28/11/1980,623.5
31/12/1980,594.9
30/01/1981,557.4
27/02/1981,499.8
31/03/1981,498.8
30/04/1981,495.8
29/05/1981,479.7
30/06/1981,460.8
31/07/1981,409.3
31/08/1981,410.2
30/09/1981,443.8
30/10/1981,437.8
30/11/1981,413.4
31/12/1981,410.1
29/01/1982,384.1
26/02/1982,374.1
31/03/1982,330.3
30/04/1982,350.3
31/05/1982,333.8
30/06/1982,315
30/07/1982,339
31/08/1982,364.2
30/09/1982,437.3
29/10/1982,422.2
30/11/1982,414.9
31/12/1982,444.3
31/01/1983,481.3
28/02/1983,491.2
31/03/1983,419.7
29/04/1983,432.9
31/05/1983,438
30/06/1983,412.8
29/07/1983,422.7
31/08/1983,416.2
30/09/1983,411.8
31/10/1983,393.6
30/11/1983,381.7
30/12/1983,388.3
31/01/1984,370.9
29/02/1984,385.9
30/03/1984,394.3
30/04/1984,381.4
31/05/1984,377.4
29/06/1984,377.7
31/07/1984,347.5
31/08/1984,347.7
28/09/1984,341.1
31/10/1984,340.2
30/11/1984,341.2
31/12/1984,320.2
31/01/1985,302.8
28/02/1985,299.1
29/03/1985,303.9
30/04/1985,325.3
31/05/1985,316.4
28/06/1985,316.5
31/07/1985,317.2
30/08/1985,329.8
30/09/1985,323.4
31/10/1985,325.8
29/11/1985,325.3
31/12/1985,321.9
31/01/1986,345.4
28/02/1986,338.9
31/03/1986,345.7
30/04/1986,340.4
30/05/1986,342.4
30/06/1986,342.7
31/07/1986,348.3
29/08/1986,376.6
30/09/1986,417.7
31/10/1986,423.5
28/11/1986,397.6
31/12/1986,390.9
30/01/1987,408.3
27/02/1987,401.1
31/03/1987,408.9
30/04/1987,438.4
29/05/1987,460.2
30/06/1987,449.6
31/07/1987,450.5
31/08/1987,461.2
30/09/1987,460.4
30/10/1987,465.4
30/11/1987,467.6
31/12/1987,486.2
29/01/1988,476.6
29/02/1988,442.1
31/03/1988,443.6
29/04/1988,451.6
31/05/1988,451.1
30/06/1988,451.3
29/07/1988,437.6
31/08/1988,431.3
30/09/1988,413.5
31/10/1988,406.8
30/11/1988,420.2
30/12/1988,419.1
31/01/1989,404
28/02/1989,387.5
31/03/1989,390.2
28/04/1989,384.4
31/05/1989,371.1
30/06/1989,367.6
31/07/1989,375
31/08/1989,365.1
29/09/1989,361.8
31/10/1989,366.9
30/11/1989,394.3
29/12/1989,409.4
31/01/1990,410.1
28/02/1990,416.8
30/03/1990,393.1
30/04/1990,374.2
31/05/1990,369.1
29/06/1990,352.3
31/07/1990,362.5
31/08/1990,394.7
28/09/1990,389.3
31/10/1990,380.7
30/11/1990,381.7
31/12/1990,377
31/01/1991,383.6
28/02/1991,363.8
29/03/1991,363.3
30/04/1991,358.4
31/05/1991,357
28/06/1991,366.7
31/07/1991,367.7
30/08/1991,356.3
30/09/1991,348.7
31/10/1991,358.7
29/11/1991,360.2
31/12/1991,361.7
31/01/1992,354.5
28/02/1992,353.9
31/03/1992,344.3
30/04/1992,338.6
29/05/1992,337.2
30/06/1992,340.8
31/07/1992,352.7
31/08/1992,343.1
30/09/1992,345.4
30/10/1992,344.4
30/11/1992,335
31/12/1992,334.8
29/01/1993,329
26/02/1993,329.3
31/03/1993,330.1
30/04/1993,342.2
31/05/1993,367.2
30/06/1993,371.9
30/07/1993,392.2
31/08/1993,378.8
30/09/1993,355.3
29/10/1993,364.2
30/11/1993,373.8
31/12/1993,383.3
31/01/1994,386.9
28/02/1994,381.9
31/03/1994,384.1
29/04/1994,377.3
31/05/1994,381.4
